YEAR,MO,DY,HR,WS10M
2023,3,7,12,1.46
2023,3,7,13,1.88
2023,3,7,14,2.18
2023,3,7,15,2.52
2023,3,7,16,2.94
2023,3,7,17,3.14
2023,3,7,18,3.17
2023,3,7,19,3.13
2023,3,7,20,3.01
2023,3,7,21,2.65
2023,3,7,22,1.73
2023,3,7,23,1.13
2023,3,8,0,1.13
2023,3,8,1,1.28
2023,3,8,2,1.57
2023,3,8,3,1.79
2023,3,8,4,1.66
2023,3,8,5,1.51
2023,3,8,6,1.35
2023,3,8,7,1.24
2023,3,8,8,1.02
2023,3,8,9,0.78
2023,3,8,10,0.66
2023,3,8,11,0.57
2023,3,8,12,0.67
2023,3,8,13,1.27
2023,3,8,14,1.99
2023,3,8,15,2.59
2023,3,8,16,2.75
2023,3,8,17,2.61
2023,3,8,18,2.27
2023,3,8,19,1.89
2023,3,8,20,1.59
2023,3,8,21,1.18
2023,3,8,22,0.61
2023,3,8,23,0.29
2023,3,9,0,0.25
2023,3,9,1,0.25
2023,3,9,2,0.19
2023,3,9,3,0.12
2023,3,9,4,0.08
2023,3,9,5,0.3
2023,3,9,6,0.61
2023,3,9,7,0.74
2023,3,9,8,0.72
2023,3,9,9,0.71
2023,3,9,10,0.69
2023,3,9,11,0.61
2023,3,9,12,0.6
2023,3,9,13,0.49
2023,3,9,14,0.95
2023,3,9,15,1.48
2023,3,9,16,1.84
2023,3,9,17,1.94
2023,3,9,18,1.97
2023,3,9,19,1.9
2023,3,9,20,1.69
2023,3,9,21,1.18
2023,3,9,22,0.47
2023,3,9,23,0.07
2023,3,10,0,0.41
2023,3,10,1,0.84
2023,3,10,2,1.09
2023,3,10,3,1.07
2023,3,10,4,0.98
2023,3,10,5,1.03
2023,3,10,6,1.0
2023,3,10,7,0.82
2023,3,10,8,0.58
2023,3,10,9,0.49
2023,3,10,10,0.57
2023,3,10,11,0.69
2023,3,10,12,0.84
2023,3,10,13,0.89
2023,3,10,14,1.21
2023,3,10,15,1.77
2023,3,10,16,2.28
